r (mm),uz (km/s),name,r (mm),uz (km/s),name,r (mm),uz (km/s),name,r (mm),uz (km/s),name,r (mm),uz (km/s),name
-28.418099067650573,92.09681711730892,-0.10,-21.21625204365693,78.732701724505,0.10,-12.262604392205382,66.7753353204173,0.16,-21.21625204365693,63.25846284862678,0.34,-21.410896557818916,59.03821588247814,0.56
-26.666298440192662,83.6563231850117,-0.10,-19.46445141619902,75.91920374707263,0.10,-8.759003137289554,44.97072599531617,0.16,-19.46445141619902,56.22471790504579,0.34,-19.659095930361005,47.08084947839046,0.56
-23.162697185276834,82.24957419629553,-0.10,-17.71265078874111,75.21582925271449,0.10,-3.5036012549158206,36.53023206301896,0.16,-17.7126507887411,52.70784543325527,0.34,-17.907295302903094,49.89434745582287,0.56
-19.659095930361005,87.87657015116034,-0.10,-15.96085016128319,57.63146689376202,0.10,8.881784197001252e-16,18.94586970406641,0.16,-14.20904953382528,51.3010964445391,0.34,-15.960850161283187,48.48759846710664,0.56
-15.960850161283197,76.62257824143072,-0.10,-14.20904953382528,49.89434745582287,0.10,3.6982457690778157,20.35261869278264,0.16,-12.457248906367369,47.08084947839046,0.34,-14.20904953382528,38.6403555460933,0.56
-12.457248906367369,85.76644666808602,-0.10,-12.457248906367369,48.48759846710664,0.10,5.450046396535726,46.37747498403235,0.16,-10.705448278909458,32.30998509687038,0.34,-12.457248906367367,33.01335959122844,0.56
0.0,73.1057057696402,-0.10,-10.510803764747465,47.78422397274858,0.10,7.201847023993637,21.05599318714076,0.16,-7.007202509831643,16.83574622099212,0.34,-10.705448278909458,27.386363636363622,0.56
3.5036012549158215,83.6563231850117,-0.10,-8.759003137289554,39.34373004045136,0.10,8.953647651451547,28.08973813072174,0.16,-5.255401882373732,20.35261869278264,0.34,-8.953647651451547,28.08973813072174,0.56
5.255401882373734,85.0630721737279,-0.10,-7.007202509831643,40.75047902916759,0.10,10.705448278909472,33.71673408558655,0.16,-1.7518006274579103,18.94586970406641,0.34,-7.201847023993636,19.64924419842453,0.56
,,,-5.255401882373732,32.30998509687038,0.10,12.457248906367383,33.01335959122844,0.16,0.0,13.3188737492016,0.34,0.0,3.4716308281882675,0.56
,,,-3.5036012549158215,32.30998509687038,0.10,14.403694047987273,40.04710453480942,0.16,1.7518006274579254,18.94586970406641,0.34,5.255401882373732,15.42899723227589,0.56
,,,-1.7518006274579108,45.67410048967429,0.10,16.155494675445187,44.97072599531617,0.16,3.503601254915836,27.386363636363622,0.34,7.007202509831643,11.912124760485426,0.56
,,,0.0,21.759367681498816,0.10,17.907295302903094,44.26735150095806,0.16,5.4500463965357255,32.30998509687038,0.34,8.759003137289554,18.94586970406641,0.56
,,,1.946445141619904,33.71673408558655,0.10,19.659095930361005,55.52134341068768,0.16,7.201847023993638,33.71673408558655,0.34,10.705448278909458,18.94586970406641,0.56
,,,7.201847023993636,32.30998509687038,0.10,21.410896557818916,63.96183734298489,0.16,8.953647651451547,35.12348307430278,0.34,,,
,,,8.953647651451561,42.86060251224188,0.10,,,,10.510803764747479,44.26735150095806,0.34,,,
,,,,,,,,,12.457248906367369,52.00447093889716,0.34,,,
