#: table_doi: 10.17182/hepdata.156186.v1/t8
#: name: $\Delta\phi_{ch,Z}$ in PbPb 30-50% for $2 < p_T < 4$ GeV
#: description: The $\Delta\phi_{ch,Z}$ spectra for events with Z boson $p_{T}^Z > 40$ GeV and charged-hadrons with $2 <p_T < 4$ GeV in PbPb for centrality interval of 30-50% collisions.
#: data_file: $\delta\phi_{ch,z}$_in_pbpb_30-50%_for_$2_<_p_t_<_4$_gev.yaml
#: keyword observables: dNchdPhichZ spectra
#: keyword phrases: Inclusive Z | Rapidity | Azimuthal | Differential
#: keyword reactions: PbPb --> Z+X
#: keyword cmenergies: 5020
#: PTZ,,,40 < $p_{T}^{Z}$ < 350 GeV
#: PTCH,,,2 < $p_{T}^{ch}$ < 4 GeV
#: ABS(YZ),,,$|y_Z|$ < 2.4
#: ABS(ETACH),,,$|\eta^{ch}|$ < 2.4
#: SQRT(S)/NUCLEON,,,5020 GeV
#: RE,,,Pb Pb --> Z + X
#: CENTRALITY,,,30--50%
"$\Delta\phi_{ch,Z}$","$\Delta\phi_{ch,Z}$ LOW","$\Delta\phi_{ch,Z}$ HIGH","$d<N_{ch}>/d(\Delta\phi_{ch,Z})$",Stat. +,Stat. -,Syst. +,Syst. -
-1.414,-1.571,-1.257,-0.3586,0.3006,-0.3006,0.3663,-0.3663
-1.0995,-1.257,-0.942,-0.2454,0.2996,-0.2996,0.3686,-0.3686
-0.7849999999999999,-0.942,-0.628,-0.6655,0.2890,-0.2890,0.3803,-0.3803
-0.471,-0.628,-0.314,-0.1869,0.2970,-0.2970,0.3801,-0.3801
-0.157,-0.314,0.0,-0.6215,0.2948,-0.2948,0.3890,-0.3890
0.157,0.0,0.314,-0.6215,0.2948,-0.2948,0.3890,-0.3890
0.471,0.314,0.628,-0.1869,0.2970,-0.2970,0.3801,-0.3801
0.7849999999999999,0.628,0.942,-0.6655,0.2890,-0.2890,0.3803,-0.3803
1.0995,0.942,1.257,-0.2454,0.2996,-0.2996,0.3686,-0.3686
1.414,1.257,1.571,-0.3586,0.3006,-0.3006,0.3663,-0.3663
1.728,1.571,1.885,0.4782,0.3115,-0.3115,0.3662,-0.3662
2.042,1.885,2.199,-0.0246,0.3038,-0.3038,0.3671,-0.3671
2.356,2.199,2.513,0.1031,0.3058,-0.3058,0.3725,-0.3725
2.67,2.513,2.827,0.1247,0.3036,-0.3036,0.3719,-0.3719
2.9844999999999997,2.827,3.142,1.1180,0.3168,-0.3168,0.3739,-0.3739
3.299,3.142,3.456,1.1180,0.3168,-0.3168,0.3739,-0.3739
3.613,3.456,3.77,0.1247,0.3036,-0.3036,0.3719,-0.3719
3.9269999999999996,3.77,4.084,0.1031,0.3058,-0.3058,0.3725,-0.3725
4.241,4.084,4.398,-0.0246,0.3038,-0.3038,0.3671,-0.3671
4.555,4.398,4.712,0.4782,0.3115,-0.3115,0.3662,-0.3662

