#: table_doi: 10.17182/hepdata.156186.v1/t12
#: name: $\Delta\phi_{ch,Z}$ in PbPb 50-90% for $4 < p_T < 10$ GeV
#: description: The $\Delta\phi_{ch,Z}$ spectra for events with Z boson $p_{T}^Z > 40$ GeV and charged-hadrons with $4 <p_T < 10$ GeV in PbPb for centrality interval of 50-90% collisions.
#: data_file: $\delta\phi_{ch,z}$_in_pbpb_50-90%_for_$4_<_p_t_<_10$_gev.yaml
#: keyword observables: dNchdPhichZ spectra
#: keyword reactions: PbPb --> Z+X
#: keyword cmenergies: 5020
#: PTZ,,,40 < $p_{T}^{Z}$ < 350 GeV
#: PTCH,,,4 < $p_{T}^{ch}$ < 10 GeV
#: ABS(YZ),,,$|y_Z|$ < 2.4
#: ABS(ETACH),,,$|\eta^{ch}|$ < 2.4
#: SQRT(S)/NUCLEON,,,5020 GeV
#: RE,,,Pb Pb --> Z + X
#: CENTRALITY,,,50--90%
"$\Delta\phi_{ch,Z}$","$\Delta\phi_{ch,Z}$ LOW","$\Delta\phi_{ch,Z}$ HIGH","$d<N_{ch}>/d(\Delta\phi_{ch,Z})$",Stat. +,Stat. -,Syst. +,Syst. -
-1.414,-1.571,-1.257,-0.3291,0.0685,-0.0685,0.2622,-0.2622
-1.0995,-1.257,-0.942,-0.1057,0.1207,-0.1207,0.2573,-0.2573
-0.7849999999999999,-0.942,-0.628,-0.3755,0.0774,-0.0774,0.2573,-0.2573
-0.471,-0.628,-0.314,0.0053,0.1304,-0.1304,0.2573,-0.2573
-0.157,-0.314,0.0,-0.1795,0.1130,-0.1130,0.2610,-0.2610
0.157,0.0,0.314,-0.1795,0.1130,-0.1130,0.2610,-0.2610
0.471,0.314,0.628,0.0053,0.1304,-0.1304,0.2573,-0.2573
0.7849999999999999,0.628,0.942,-0.3755,0.0774,-0.0774,0.2573,-0.2573
1.0995,0.942,1.257,-0.1057,0.1207,-0.1207,0.2573,-0.2573
1.414,1.257,1.571,-0.3291,0.0685,-0.0685,0.2622,-0.2622
1.728,1.571,1.885,-0.3168,0.0879,-0.0879,0.2573,-0.2573
2.042,1.885,2.199,-0.1501,0.1121,-0.1121,0.2630,-0.2630
2.356,2.199,2.513,-0.1659,0.1180,-0.1180,0.2578,-0.2578
2.67,2.513,2.827,0.2760,0.1841,-0.1841,0.2572,-0.2572
2.9844999999999997,2.827,3.142,1.4642,0.2762,-0.2762,0.2677,-0.2677
3.299,3.142,3.456,1.4642,0.2762,-0.2762,0.2677,-0.2677
3.613,3.456,3.77,0.2760,0.1841,-0.1841,0.2572,-0.2572
3.9269999999999996,3.77,4.084,-0.1659,0.1180,-0.1180,0.2578,-0.2578
4.241,4.084,4.398,-0.1501,0.1121,-0.1121,0.2630,-0.2630
4.555,4.398,4.712,-0.3168,0.0879,-0.0879,0.2573,-0.2573

