#: table_doi: 10.17182/hepdata.156186.v1/t2
#: name: $\Delta\phi_{ch,Z}$ spectra in pp for $2 < p_T < 4$ GeV
#: description: The $\Delta\phi_{ch,Z}$ spectra for events with Z boson $p_{T}^Z > 40$ GeV and charged-hadrons with $2 <p_T < 4$ GeV in pp collisions.
#: data_file: $\delta\phi_{ch,z}$_spectra_in_pp_for_$2_<_p_t_<_4$_gev.yaml
#: keyword observables: dNchdPhichZ spectra
#: keyword phrases: Inclusive Z | Rapidity | Azimuthal | Differential
#: keyword reactions: pp --> Z+X
#: keyword cmenergies: 5020
#: PTZ,,,40 < $p_{T}^{Z}$ < 350 GeV
#: PTCH,,,2 < $p_{T}^{ch}$ < 4 GeV
#: ABS(YZ),,,$|y_Z|$ < 2.4
#: ABS(ETACH),,,$|\eta^{ch}|$ < 2.4
#: SQRT(S)/NUCLEON,,,5020 GeV
#: RE,,,pp --> Z + X
"$\Delta\phi_{ch,Z}$","$\Delta\phi_{ch,Z}$ LOW","$\Delta\phi_{ch,Z}$ HIGH","$d<N_{ch}>/d(\Delta\phi_{ch,Z})$",Stat. +,Stat. -,Syst. +,Syst. -
-1.415,-1.57,-1.26,-0.3118,0.0238,-0.0238,0.0440,-0.0440
-1.1,-1.26,-0.94,-0.3552,0.0227,-0.0227,0.0131,-0.0131
-0.7849999999999999,-0.94,-0.63,-0.3830,0.0213,-0.0213,0.0648,-0.0648
-0.47,-0.63,-0.31,-0.4159,0.0207,-0.0207,0.0597,-0.0597
-0.155,-0.31,0.0,-0.4137,0.0205,-0.0205,0.0637,-0.0637
0.155,0.0,0.31,-0.4137,0.0205,-0.0205,0.0637,-0.0637
0.47,0.31,0.63,-0.4159,0.0207,-0.0207,0.0597,-0.0597
0.7849999999999999,0.63,0.94,-0.3830,0.0213,-0.0213,0.0648,-0.0648
1.1,0.94,1.26,-0.3552,0.0227,-0.0227,0.0131,-0.0131
1.415,1.26,1.57,-0.3118,0.0238,-0.0238,0.0440,-0.0440
1.725,1.57,1.88,-0.2435,0.0251,-0.0251,0.0304,-0.0304
2.04,1.88,2.2,-0.0927,0.0288,-0.0288,0.0281,-0.0281
2.355,2.2,2.51,0.1409,0.0335,-0.0335,0.0381,-0.0381
2.67,2.51,2.83,0.5140,0.0401,-0.0401,0.1094,-0.1094
2.9850000000000003,2.83,3.14,1.5634,0.0541,-0.0541,0.0559,-0.0559
3.3,3.14,3.46,1.5634,0.0541,-0.0541,0.0559,-0.0559
3.615,3.46,3.77,0.5140,0.0401,-0.0401,0.1094,-0.1094
3.925,3.77,4.08,0.1409,0.0335,-0.0335,0.0381,-0.0381
4.24,4.08,4.4,-0.0927,0.0288,-0.0288,0.0281,-0.0281
4.555,4.4,4.71,-0.2435,0.0251,-0.0251,0.0304,-0.0304

