#: table_doi: 10.17182/hepdata.156186.v1/t28
#: name: $\Delta y_{ch,Z}$ in PbPb 0-90% for $1 < p_T < 2$ GeV
#: description: The $\Delta y_{ch,Z}$ spectra for events with Z boson $p_{T}^Z > 40$ GeV and charged-hadrons with $1 <p_T < 2$ GeV in PbPb for centrality interval of 0-90% collisions.
#: data_file: $\delta_y_{ch,z}$_in_pbpb_0-90%_for_$1_<_p_t_<_2$_gev.yaml
#: keyword observables: dNchdYZ spectra
#: keyword phrases: Inclusive Z | Rapidity | Azimuthal | Differential
#: keyword reactions: PbPb --> Z+X
#: keyword cmenergies: 5020
#: PTZ,,,40 < $p_{T}^{Z}$ < 350 GeV
#: PTCH,,,1 < $p_{T}^{ch}$ < 2 GeV
#: ABS(YZ),,,$|y_Z|$ < 2.4
#: ABS(ETACH),,,$|\eta^{ch}|$ < 2.4
#: SQRT(S)/NUCLEON,,,5020 GeV
#: RE,,,Pb Pb --> Z + X
#: CENTRALITY,,,0--90%
"$\Delta y_{ch,Z}$","$\Delta y_{ch,Z}$ LOW","$\Delta y_{ch,Z}$ HIGH","$d<N_{ch}>/d(\Delta y_{ch,Z})$",Stat. +,Stat. -,Syst. +,Syst. -
-3.6,-4.0,-3.2,-0.0552,0.0961,-0.0961,0.0338,-0.0338
-2.8,-3.2,-2.4,-0.2398,0.1529,-0.1529,0.0337,-0.0337
-2.0,-2.4,-1.6,-0.8019,0.1924,-0.1924,0.0424,-0.0424
-1.2000000000000002,-1.6,-0.8,-0.2462,0.2225,-0.2225,0.0346,-0.0346
-0.4,-0.8,0.0,-1.0470,0.2428,-0.2428,0.0565,-0.0565
0.4,0.0,0.8,-1.0470,0.2428,-0.2428,0.0565,-0.0565
1.2000000000000002,0.8,1.6,-0.2462,0.2225,-0.2225,0.0346,-0.0346
2.0,1.6,2.4,-0.8019,0.1924,-0.1924,0.0424,-0.0424
2.8,2.4,3.2,-0.2398,0.1529,-0.1529,0.0337,-0.0337
3.6,3.2,4.0,-0.0552,0.0961,-0.0961,0.0338,-0.0338

