#: table_doi: 10.17182/hepdata.156186.v1/t17
#: name: $\Delta y_{ch,Z}$ spectra in pp for $2 < p_T < 4$ GeV
#: description: The $\Delta y_{ch,Z}$ spectra for events with Z boson $p_{T}^Z > 40$ GeV and charged-hadrons with $2 <p_T < 4$ GeV in pp collisions.
#: data_file: $\delta_y_{ch,z}$_spectra_in_pp_for_$2_<_p_t_<_4$_gev.yaml
#: keyword observables: dNchdEtachZ spectra
#: keyword phrases: Inclusive Z | Rapidity | Azimuthal | Differential
#: keyword reactions: pp --> Z+X
#: keyword cmenergies: 5020
#: PTZ,,,40 < $p_{T}^{Z}$ < 350 GeV
#: PTCH,,,2 < $p_{T}^{ch}$ < 4 GeV
#: ABS(YZ),,,$|y_Z|$ < 2.4
#: ABS(ETACH),,,$|\eta^{ch}|$ < 2.4
#: SQRT(S)/NUCLEON,,,5020 GeV
#: RE,,,pp --> Z + X
"$\Delta y_{ch,Z}$","$\Delta y_{ch,Z}$ LOW","$\Delta y_{ch,Z}$ HIGH","$d<N_{ch}>/d(\Delta y_{ch,Z})$",Stat. +,Stat. -,Syst. +,Syst. -
-3.8,-4.0,-3.6,-0.0122,0.0048,-0.0048,0.0080,-0.0080
-3.4000000000000004,-3.6,-3.2,-0.0342,0.0068,-0.0068,0.0018,-0.0018
-3.0,-3.2,-2.8,-0.0626,0.0083,-0.0083,0.0064,-0.0064
-2.5999999999999996,-2.8,-2.4,-0.0965,0.0095,-0.0095,0.0048,-0.0048
-2.2,-2.4,-2.0,-0.1257,0.0121,-0.0121,0.0095,-0.0095
-1.8,-2.0,-1.6,-0.1370,0.0139,-0.0139,0.0268,-0.0268
-1.4,-1.6,-1.2,-0.1942,0.0138,-0.0138,0.0070,-0.0070
-1.0,-1.2,-0.8,-0.2489,0.0146,-0.0146,0.0538,-0.0538
-0.6000000000000001,-0.8,-0.4,-0.2650,0.0155,-0.0155,0.0400,-0.0400
-0.2,-0.4,0.0,-0.2931,0.0160,-0.0160,0.0607,-0.0607
0.2,0.0,0.4,-0.2931,0.0160,-0.0160,0.0607,-0.0607
0.6000000000000001,0.4,0.8,-0.2650,0.0155,-0.0155,0.0400,-0.0400
1.0,0.8,1.2,-0.2489,0.0146,-0.0146,0.0538,-0.0538
1.4,1.2,1.6,-0.1942,0.0138,-0.0138,0.0070,-0.0070
1.8,1.6,2.0,-0.1370,0.0139,-0.0139,0.0268,-0.0268
2.2,2.0,2.4,-0.1257,0.0121,-0.0121,0.0095,-0.0095
2.5999999999999996,2.4,2.8,-0.0965,0.0095,-0.0095,0.0048,-0.0048
3.0,2.8,3.2,-0.0626,0.0083,-0.0083,0.0064,-0.0064
3.4000000000000004,3.2,3.6,-0.0342,0.0068,-0.0068,0.0018,-0.0018
3.8,3.6,4.0,-0.0122,0.0048,-0.0048,0.0080,-0.0080

