Figure3_Iz,,Figure3_Ix,
X,Y,X,Y
70.46511627906976,2.9601328903655144,-10,0
63.95348837209302,3.3936877076412486,-6.086956521739133,0.833333333333357
59.76744186046511,5.830564784053223,-4.782608695652172,3.055555555555557
57.44186046511628,9.61295681063126,-3.4782608695652186,5
55.58139534883719,14.696013289036586,-2.173913043478258,6.3888888888889
54.18604651162789,19.794019933554864,0,7.5
52.790697674418595,25.53488372093028,2.173913043478265,6.3888888888889
51.86046511627906,30.647840531561513,3.4782608695652186,4.722222222222243
50.93023255813952,35.11794019933561,4.782608695652179,3.055555555555557
49.06976744186045,40.2009966777409,5.652173913043477,1.6666666666666856
47.67441860465115,35.013289036544904,7.391304347826093,0
47.209302325581376,30.49833887043195,10.000000000000007,0
47.209302325581376,25.99833887043195,-7.826086956521735,0
46.744186046511615,18.911960132890414,,
46.744186046511615,13.126245847176108,,
46.279069767441854,7.325581395348877,,
45.81395348837208,2.8106312292359235,,
39.76744186046511,1.9734219269103335,,
